iteration,time,throughput (img/s),loss,top1-accuracy,top5-accuracy
3680,2255,361.3,7.255,0.000,0.000
3690,2255,361.2,7.255,0.012,0.016
3700,2255,361.2,7.255,0.000,0.000
3710,2255,361.1,7.255,0.000,0.000
3720,2255,361.0,7.255,0.000,0.004
3730,2255,361.0,7.254,0.000,0.004
3740,2778,351.0,7.255,0.008,0.012
3750,2778,351.1,7.254,0.004,0.008
3760,2778,351.2,7.254,0.000,0.004
3770,2778,351.3,7.255,0.000,0.000
3780,2778,351.4,7.254,0.000,0.004
3790,2778,351.5,7.254,0.000,0.000
3800,2778,351.6,7.254,0.000,0.000
3810,2778,351.7,7.255,0.000,0.000
3820,2778,351.7,7.255,0.000,0.008
3830,2778,351.8,7.254,0.004,0.016
3840,2778,351.9,7.254,0.000,0.000
3850,2778,352.0,7.254,0.004,0.008
3860,2778,352.1,7.255,0.000,0.004
3870,2778,352.1,7.255,0.000,0.004
3880,2778,352.2,7.255,0.000,0.004
3890,2778,352.2,7.254,0.000,0.000
3900,2778,352.3,7.254,0.000,0.000
3910,2778,352.3,7.254,0.004,0.016
3920,2778,352.4,7.254,0.000,0.012
3930,2778,352.4,7.254,0.000,0.000
3940,2778,352.4,7.255,0.000,0.000
3950,2778,352.5,7.255,0.004,0.008
3960,2778,352.5,7.255,0.004,0.008
3970,2778,352.5,7.254,0.000,0.004
3980,2778,352.5,7.254,0.004,0.008
3990,2778,352.5,7.254,0.004,0.004
4000,2778,352.5,7.255,0.000,0.008
4010,2778,352.5,7.254,0.004,0.004
4020,2778,352.5,7.255,0.004,0.004
4030,2778,352.5,7.254,0.004,0.004
4040,2778,352.5,7.255,0.000,0.000
4050,2778,352.5,7.254,0.000,0.008
4060,2778,352.6,7.255,0.000,0.000
4070,2778,352.6,7.255,0.000,0.004
4080,2778,352.6,7.255,0.000,0.000
4090,2778,352.6,7.255,0.008,0.008
4100,2778,352.5,7.254,0.000,0.004
4110,2778,352.5,7.254,0.004,0.012
4120,2778,352.4,7.255,0.000,0.000
4130,2778,352.5,7.254,0.000,0.000
4140,2778,352.5,7.254,0.000,0.008
4150,2778,352.4,7.254,0.000,0.004
4160,2778,352.5,7.254,0.000,0.004
4170,2778,352.5,7.254,0.000,0.000
4180,2778,352.5,7.255,0.000,0.004
4190,2778,352.5,7.254,0.000,0.004
4200,2778,352.5,7.254,0.000,0.000
4210,2778,352.5,7.254,0.004,0.020
4220,2778,352.5,7.254,0.000,0.008
4230,2778,352.5,7.255,0.000,0.000
4240,2778,352.5,7.254,0.000,0.008
4250,2778,352.5,7.254,0.000,0.012
4260,2778,352.5,7.254,0.000,0.004
4270,2778,352.4,7.254,0.000,0.004
4280,2778,352.4,7.254,0.000,0.004
4290,2778,352.4,7.255,0.000,0.000
4300,2778,352.4,7.254,0.000,0.004
4310,2778,352.4,7.254,0.000,0.008
4320,2778,352.4,7.254,0.000,0.008
4330,2778,352.4,7.254,0.000,0.008
4340,2778,352.4,7.254,0.004,0.016
4350,2778,352.4,7.255,0.000,0.000
4370,3245,352.4,7.254,0.004,0.008
4380,3245,352.4,7.254,0.000,0.000
4390,3245,352.4,7.254,0.000,0.000
4400,3245,352.4,7.255,0.000,0.000
4410,3245,352.4,7.254,0.000,0.004
4420,3245,352.4,7.254,0.000,0.004
4430,3245,352.5,7.254,0.000,0.008
4440,3245,352.5,7.254,0.000,0.008
4450,3245,352.5,7.254,0.000,0.008
4460,3245,352.5,7.254,0.000,0.000
4470,3245,352.5,7.255,0.000,0.004
4480,3245,352.5,7.254,0.004,0.008
4490,3245,352.5,7.255,0.004,0.004
4500,3245,352.5,7.254,0.000,0.008
4510,3245,352.6,7.254,0.004,0.008
4520,3245,352.5,7.254,0.000,0.004
4530,3245,352.5,7.254,0.004,0.012
4540,3245,352.5,7.254,0.004,0.004
4550,3245,352.5,7.254,0.000,0.004
4560,3245,352.4,7.254,0.004,0.012
4570,3245,352.5,7.254,0.004,0.008
4580,3245,352.5,7.254,0.000,0.000
4590,3245,352.4,7.254,0.004,0.012
4600,3245,352.5,7.254,0.004,0.012
4610,3245,352.4,7.254,0.004,0.012
4620,3245,352.5,7.254,0.000,0.000
4630,3245,352.4,7.255,0.000,0.004
4640,3245,352.4,7.255,0.000,0.004
4650,3245,352.5,7.254,0.004,0.008
4660,3245,352.5,7.254,0.004,0.004
4670,3245,352.5,7.254,0.000,0.000
4680,3245,352.5,7.254,0.004,0.008
4690,3245,352.4,7.254,0.000,0.004
4700,3245,352.5,7.254,0.000,0.000
4710,3245,352.4,7.254,0.004,0.008
4720,3245,352.5,7.254,0.000,0.004
4730,3245,352.5,7.255,0.000,0.000
4740,3245,352.5,7.254,0.000,0.000
4750,3245,352.5,7.254,0.000,0.004
4760,3245,352.5,7.255,0.000,0.008
4770,3245,352.4,7.254,0.004,0.008
4780,3245,352.5,7.254,0.004,0.008
4790,3245,352.4,7.254,0.000,0.000
4800,3245,352.5,7.254,0.000,0.008
4810,3245,352.4,7.254,0.000,0.000
4820,3245,352.4,7.254,0.000,0.004
