iteration,throughput (img/s),loss,top1-accuracy,top5-accuracy
6230,418.5,5.407,0.137,0.305
6240,418.6,5.309,0.156,0.352
6250,418.6,5.664,0.113,0.262
6260,418.6,5.423,0.145,0.320
6270,418.6,5.637,0.102,0.250
6280,418.6,5.488,0.141,0.328
6290,418.6,5.506,0.156,0.293
6300,418.6,5.516,0.168,0.336
6310,418.6,5.339,0.172,0.340
6320,418.6,5.296,0.195,0.340
6330,418.6,5.408,0.168,0.348
6340,418.6,5.446,0.145,0.336
6350,418.6,5.456,0.141,0.305
6360,418.6,5.475,0.141,0.309
6370,418.7,5.282,0.203,0.363
6380,418.7,5.533,0.121,0.262
6390,418.7,5.556,0.137,0.336
6400,418.7,5.425,0.148,0.309
6410,418.7,5.337,0.148,0.309
6420,418.7,5.124,0.156,0.352
6430,418.7,5.388,0.160,0.309
6440,418.7,5.461,0.133,0.293
6450,418.7,5.198,0.164,0.355
6460,418.7,5.547,0.121,0.305
6470,418.7,5.254,0.180,0.348
6480,418.7,5.284,0.172,0.352
6490,418.7,5.452,0.160,0.305
6500,418.7,5.369,0.152,0.332
6510,418.7,5.433,0.156,0.320
6520,418.7,5.544,0.098,0.293
6530,418.7,5.523,0.148,0.293
6540,418.7,5.426,0.141,0.320
6550,418.7,5.563,0.109,0.289
6560,418.7,5.299,0.164,0.383
6570,418.8,5.166,0.176,0.395
6580,418.8,5.308,0.168,0.363
6590,418.8,5.461,0.113,0.305
6600,418.8,5.485,0.129,0.324
6610,418.8,5.401,0.195,0.379
6620,418.8,5.323,0.109,0.332
6630,418.8,5.358,0.160,0.352
6640,418.8,5.526,0.141,0.305
6650,418.8,5.442,0.105,0.340
6660,418.8,5.198,0.172,0.371
6670,418.8,5.465,0.145,0.309
6680,418.8,5.456,0.137,0.316
6690,418.9,5.235,0.125,0.336
6700,418.9,5.284,0.184,0.332
6710,418.9,5.179,0.164,0.383
6720,418.9,5.454,0.141,0.328
6730,418.9,5.302,0.137,0.348
6740,418.9,5.199,0.176,0.352
6750,418.9,5.335,0.156,0.336
6760,418.9,5.413,0.148,0.344
6770,418.9,5.172,0.184,0.383
6780,418.9,5.237,0.145,0.359
6790,418.9,5.150,0.172,0.379
6800,418.9,5.551,0.102,0.312
6810,418.9,5.258,0.184,0.367
6820,418.9,5.580,0.129,0.305
6830,418.9,5.374,0.145,0.383
6840,419.0,5.385,0.137,0.355
6850,419.0,5.228,0.160,0.359
6860,419.0,5.203,0.172,0.395
6870,419.0,5.374,0.160,0.352
6880,419.0,5.272,0.156,0.363
6890,419.0,5.294,0.168,0.336
6900,419.0,5.256,0.145,0.348
6910,419.0,5.347,0.133,0.340
6920,419.0,5.329,0.152,0.344
6930,419.0,5.161,0.199,0.395
6940,419.0,5.310,0.133,0.348
6950,419.0,5.351,0.184,0.328
6960,419.0,5.413,0.145,0.336
6970,419.0,5.404,0.117,0.301
6980,419.0,5.262,0.164,0.344
6990,419.0,5.271,0.117,0.344
7000,419.0,5.305,0.133,0.320
7010,419.1,5.400,0.148,0.336
7020,419.0,5.355,0.137,0.359
7030,419.0,5.291,0.156,0.344
7040,419.1,5.140,0.195,0.344
7050,419.1,5.067,0.172,0.367
7060,419.0,5.520,0.156,0.320
7070,419.1,5.540,0.117,0.301
7080,419.1,5.338,0.109,0.344
7090,419.1,5.479,0.121,0.297
7100,419.1,5.004,0.188,0.414
7110,419.1,5.001,0.176,0.371
7120,419.1,5.172,0.133,0.355
7130,419.1,5.023,0.180,0.383
7140,419.1,5.238,0.117,0.363
7150,419.1,5.308,0.195,0.367
7160,419.1,5.203,0.168,0.383
7170,419.1,5.149,0.160,0.375
7180,419.1,5.241,0.184,0.355
7190,419.1,5.345,0.172,0.344
7200,419.1,5.057,0.199,0.398
7210,419.1,5.275,0.184,0.336
7220,419.1,5.319,0.152,0.367
7230,419.2,5.467,0.133,0.328
7240,419.2,5.257,0.160,0.359
7250,419.1,5.293,0.164,0.363
7260,419.1,5.248,0.156,0.352
7270,419.1,5.174,0.156,0.352
7280,419.1,5.070,0.156,0.391
7290,419.1,4.958,0.168,0.438
7300,419.1,5.269,0.148,0.332
7310,419.1,5.262,0.148,0.352
7320,419.0,5.278,0.184,0.371
7330,419.1,5.338,0.141,0.332
7340,419.1,5.415,0.152,0.363
