WARNING:tensorflow:From /root/data/benchmarks/scripts/tf_cnn_benchmarks/convnet_builder.py:372: calling reduce_mean (from tensorflow.python.ops.math_ops) with keep_dims is deprecated and will be removed in a future version.
Instructions for updating:
keep_dims is deprecated, use keepdims instead
WARNING:tensorflow:From /root/data/benchmarks/scripts/tf_cnn_benchmarks/benchmark_cnn.py:1120: Supervisor.__init__ (from tensorflow.python.training.supervisor) is deprecated and will be removed in a future version.
Instructions for updating:
Please switch to tf.train.MonitoredTrainingSession
2018-06-29 13:50:30.957884: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2018-06-29 13:50:31.141978: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1392] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB major: 6 minor: 0 memoryClockRate(GHz): 1.3285
pciBusID: 0000:82:00.0
totalMemory: 15.89GiB freeMemory: 15.60GiB
2018-06-29 13:50:31.142031: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1471] Adding visible gpu devices: 0
2018-06-29 13:50:31.528917: I tensorflow/core/common_runtime/gpu/gpu_device.cc:952] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-06-29 13:50:31.528987: I tensorflow/core/common_runtime/gpu/gpu_device.cc:958]      0 
2018-06-29 13:50:31.529003: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] 0:   N 
2018-06-29 13:50:31.529484: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1084] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 15119 MB memory) -> physical GPU (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:82:00.0, compute capability: 6.0)
TensorFlow:  1.10
Model:       resnet50
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  128 global
             64.0 per device
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss
1060	images/sec: 225.9 +/- 0.2 (jitter = 0.5)	7.540
1070	images/sec: 225.9 +/- 0.2 (jitter = 0.5)	7.609
1080	images/sec: 225.9 +/- 0.2 (jitter = 0.5)	7.616
1090	images/sec: 225.9 +/- 0.2 (jitter = 0.5)	7.621
1100	images/sec: 225.9 +/- 0.2 (jitter = 0.5)	7.617
1110	images/sec: 225.9 +/- 0.2 (jitter = 0.5)	7.509
1120	images/sec: 225.9 +/- 0.2 (jitter = 0.5)	7.513
1130	images/sec: 225.9 +/- 0.2 (jitter = 0.5)	7.611
1140	images/sec: 225.9 +/- 0.2 (jitter = 0.5)	7.469
1150	images/sec: 225.9 +/- 0.2 (jitter = 0.5)	7.454
1160	images/sec: 225.9 +/- 0.2 (jitter = 0.5)	7.457
1170	images/sec: 225.9 +/- 0.2 (jitter = 0.5)	7.333
1180	images/sec: 226.0 +/- 0.2 (jitter = 0.5)	7.540
1190	images/sec: 226.0 +/- 0.2 (jitter = 0.5)	7.358
1200	images/sec: 226.0 +/- 0.2 (jitter = 0.5)	7.466
1210	images/sec: 226.0 +/- 0.2 (jitter = 0.5)	7.484
1220	images/sec: 226.0 +/- 0.2 (jitter = 0.5)	7.442
1230	images/sec: 226.0 +/- 0.1 (jitter = 0.5)	7.492
1240	images/sec: 226.0 +/- 0.1 (jitter = 0.5)	7.475
1250	images/sec: 226.0 +/- 0.1 (jitter = 0.5)	7.671
1260	images/sec: 226.0 +/- 0.1 (jitter = 0.5)	7.524
1270	images/sec: 226.0 +/- 0.1 (jitter = 0.5)	7.638
1280	images/sec: 226.0 +/- 0.1 (jitter = 0.5)	7.460
1290	images/sec: 226.0 +/- 0.1 (jitter = 0.5)	7.429
1300	images/sec: 226.0 +/- 0.1 (jitter = 0.5)	7.533
1310	images/sec: 226.0 +/- 0.1 (jitter = 0.5)	7.512
1320	images/sec: 226.1 +/- 0.1 (jitter = 0.5)	7.544
1330	images/sec: 226.1 +/- 0.1 (jitter = 0.5)	7.479
1340	images/sec: 226.1 +/- 0.1 (jitter = 0.5)	7.443
1350	images/sec: 226.1 +/- 0.1 (jitter = 0.5)	7.436
1360	images/sec: 226.1 +/- 0.1 (jitter = 0.5)	7.391
1370	images/sec: 226.1 +/- 0.1 (jitter = 0.5)	7.371
1380	images/sec: 226.1 +/- 0.1 (jitter = 0.5)	7.468
1390	images/sec: 226.1 +/- 0.1 (jitter = 0.5)	7.312
1400	images/sec: 226.1 +/- 0.1 (jitter = 0.5)	7.524
1410	images/sec: 226.1 +/- 0.1 (jitter = 0.5)	7.457
1420	images/sec: 226.1 +/- 0.1 (jitter = 0.5)	7.618
1430	images/sec: 226.1 +/- 0.1 (jitter = 0.5)	7.448
1440	images/sec: 226.1 +/- 0.1 (jitter = 0.5)	7.401
1450	images/sec: 226.1 +/- 0.1 (jitter = 0.5)	7.369
1460	images/sec: 226.1 +/- 0.1 (jitter = 0.5)	7.444
1470	images/sec: 226.2 +/- 0.1 (jitter = 0.5)	7.355
1480	images/sec: 226.1 +/- 0.1 (jitter = 0.5)	7.424
1490	images/sec: 226.2 +/- 0.1 (jitter = 0.5)	7.466
1500	images/sec: 226.2 +/- 0.1 (jitter = 0.5)	7.180
1510	images/sec: 226.2 +/- 0.1 (jitter = 0.5)	7.338
1520	images/sec: 226.2 +/- 0.1 (jitter = 0.5)	7.288
1530	images/sec: 226.2 +/- 0.1 (jitter = 0.5)	7.387
1540	images/sec: 226.2 +/- 0.1 (jitter = 0.4)	7.446
1550	images/sec: 226.2 +/- 0.1 (jitter = 0.4)	7.401
1560	images/sec: 226.2 +/- 0.1 (jitter = 0.4)	7.303
1570	images/sec: 226.2 +/- 0.1 (jitter = 0.4)	7.455
1580	images/sec: 226.2 +/- 0.1 (jitter = 0.4)	7.431
1590	images/sec: 226.2 +/- 0.1 (jitter = 0.4)	7.292
1600	images/sec: 226.2 +/- 0.1 (jitter = 0.4)	7.396
1610	images/sec: 226.2 +/- 0.1 (jitter = 0.4)	7.238
1620	images/sec: 226.2 +/- 0.1 (jitter = 0.4)	7.381
1630	images/sec: 226.2 +/- 0.1 (jitter = 0.4)	7.266
1640	images/sec: 226.2 +/- 0.1 (jitter = 0.4)	7.365
1650	images/sec: 226.2 +/- 0.1 (jitter = 0.4)	7.502
1660	images/sec: 226.2 +/- 0.1 (jitter = 0.4)	7.232
1670	images/sec: 226.2 +/- 0.1 (jitter = 0.4)	7.355
1680	images/sec: 226.2 +/- 0.1 (jitter = 0.4)	7.350
1690	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.286
1700	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.323
1710	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.194
1720	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.313
1730	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.255
1740	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.102
1750	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.247
1760	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.436
1770	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.525
1780	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.399
1790	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.280
1800	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.325
1810	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.331
1820	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.273
1830	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.336
1840	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.233
1850	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.300
1860	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.286
1870	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.316
1880	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.289
1890	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.136
1900	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.258
1910	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.205
1920	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.063
1930	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.174
1940	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.221
1950	images/sec: 226.3 +/- 0.1 (jitter = 0.4)	7.102
1960	images/sec: 226.4 +/- 0.1 (jitter = 0.4)	7.190
1970	images/sec: 226.4 +/- 0.1 (jitter = 0.4)	7.259
1980	images/sec: 226.4 +/- 0.1 (jitter = 0.4)	7.259
1990	images/sec: 226.4 +/- 0.1 (jitter = 0.4)	7.092
2000	images/sec: 226.4 +/- 0.1 (jitter = 0.4)	7.272
----------------------------------------------------------------
total images/sec: 226.32
----------------------------------------------------------------
WARNING:tensorflow:From /root/data/benchmarks/scripts/tf_cnn_benchmarks/convnet_builder.py:372: calling reduce_mean (from tensorflow.python.ops.math_ops) with keep_dims is deprecated and will be removed in a future version.
Instructions for updating:
keep_dims is deprecated, use keepdims instead
WARNING:tensorflow:From /root/data/benchmarks/scripts/tf_cnn_benchmarks/benchmark_cnn.py:1120: Supervisor.__init__ (from tensorflow.python.training.supervisor) is deprecated and will be removed in a future version.
Instructions for updating:
Please switch to tf.train.MonitoredTrainingSession
2018-06-29 14:36:22.660294: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2018-06-29 14:36:22.831479: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1392] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB major: 6 minor: 0 memoryClockRate(GHz): 1.3285
pciBusID: 0000:82:00.0
totalMemory: 15.89GiB freeMemory: 15.60GiB
2018-06-29 14:36:22.831529: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1471] Adding visible gpu devices: 0
2018-06-29 14:36:23.222109: I tensorflow/core/common_runtime/gpu/gpu_device.cc:952] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-06-29 14:36:23.222185: I tensorflow/core/common_runtime/gpu/gpu_device.cc:958]      0 
2018-06-29 14:36:23.222202: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] 0:   N 
2018-06-29 14:36:23.222663: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1084] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 15119 MB memory) -> physical GPU (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:82:00.0, compute capability: 6.0)
TensorFlow:  1.10
Model:       resnet50
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  128 global
             64.0 per device
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss
1	images/sec: 226.3 +/- 0.0 (jitter = 0.0)	9.100
10	images/sec: 226.8 +/- 0.6 (jitter = 0.9)	8.717
20	images/sec: 226.5 +/- 0.4 (jitter = 1.3)	8.229
30	images/sec: 226.2 +/- 0.3 (jitter = 1.5)	8.000
40	images/sec: 226.2 +/- 0.3 (jitter = 1.7)	8.031
50	images/sec: 226.2 +/- 0.3 (jitter = 2.0)	8.018
60	images/sec: 226.3 +/- 0.2 (jitter = 1.9)	7.934
70	images/sec: 226.0 +/- 0.3 (jitter = 1.9)	7.840
80	images/sec: 226.2 +/- 0.3 (jitter = 1.8)	7.859
90	images/sec: 226.3 +/- 0.3 (jitter = 1.7)	7.932
100	images/sec: 226.4 +/- 0.3 (jitter = 1.7)	7.956
110	images/sec: 226.4 +/- 0.2 (jitter = 1.7)	8.038
120	images/sec: 226.4 +/- 0.2 (jitter = 1.6)	7.769
130	images/sec: 226.5 +/- 0.2 (jitter = 1.6)	7.837
140	images/sec: 226.5 +/- 0.2 (jitter = 1.7)	7.862
150	images/sec: 226.5 +/- 0.2 (jitter = 1.6)	7.818
160	images/sec: 226.5 +/- 0.2 (jitter = 1.6)	7.875
170	images/sec: 226.6 +/- 0.2 (jitter = 1.6)	7.821
180	images/sec: 226.6 +/- 0.2 (jitter = 1.6)	7.808
190	images/sec: 226.6 +/- 0.2 (jitter = 1.6)	7.858
200	images/sec: 226.7 +/- 0.2 (jitter = 1.6)	7.805
210	images/sec: 226.7 +/- 0.1 (jitter = 1.5)	7.895
220	images/sec: 226.8 +/- 0.1 (jitter = 1.4)	7.821
230	images/sec: 226.8 +/- 0.1 (jitter = 1.4)	7.852
240	images/sec: 226.9 +/- 0.1 (jitter = 1.4)	7.832
250	images/sec: 226.9 +/- 0.1 (jitter = 1.3)	7.824
260	images/sec: 227.0 +/- 0.1 (jitter = 1.2)	7.832
270	images/sec: 227.0 +/- 0.1 (jitter = 1.1)	7.842
280	images/sec: 227.0 +/- 0.1 (jitter = 1.1)	7.802
290	images/sec: 227.1 +/- 0.1 (jitter = 1.0)	7.806
300	images/sec: 227.1 +/- 0.1 (jitter = 1.0)	7.767
310	images/sec: 227.1 +/- 0.1 (jitter = 1.0)	7.793
320	images/sec: 227.1 +/- 0.1 (jitter = 1.0)	7.801
330	images/sec: 227.2 +/- 0.1 (jitter = 0.9)	7.799
340	images/sec: 227.2 +/- 0.1 (jitter = 0.9)	7.800
350	images/sec: 227.2 +/- 0.1 (jitter = 0.9)	7.768
360	images/sec: 227.2 +/- 0.1 (jitter = 0.9)	7.808
370	images/sec: 227.3 +/- 0.1 (jitter = 0.8)	7.774
380	images/sec: 227.3 +/- 0.1 (jitter = 0.8)	7.761
390	images/sec: 227.3 +/- 0.1 (jitter = 0.8)	7.781
400	images/sec: 227.3 +/- 0.1 (jitter = 0.8)	7.789
410	images/sec: 227.3 +/- 0.1 (jitter = 0.8)	7.848
420	images/sec: 227.3 +/- 0.1 (jitter = 0.8)	7.757
430	images/sec: 227.3 +/- 0.1 (jitter = 0.8)	7.786
440	images/sec: 227.3 +/- 0.1 (jitter = 0.8)	7.782
450	images/sec: 227.4 +/- 0.1 (jitter = 0.8)	7.820
460	images/sec: 227.4 +/- 0.1 (jitter = 0.8)	7.762
470	images/sec: 227.4 +/- 0.1 (jitter = 0.8)	7.746
480	images/sec: 227.4 +/- 0.1 (jitter = 0.7)	7.799
490	images/sec: 227.4 +/- 0.1 (jitter = 0.7)	7.798
500	images/sec: 227.4 +/- 0.1 (jitter = 0.7)	7.830
510	images/sec: 227.4 +/- 0.1 (jitter = 0.7)	7.769
520	images/sec: 227.4 +/- 0.1 (jitter = 0.7)	7.760
530	images/sec: 227.5 +/- 0.1 (jitter = 0.7)	7.814
540	images/sec: 227.5 +/- 0.1 (jitter = 0.7)	7.691
550	images/sec: 227.5 +/- 0.1 (jitter = 0.7)	7.797
560	images/sec: 227.5 +/- 0.1 (jitter = 0.7)	7.702
570	images/sec: 227.5 +/- 0.1 (jitter = 0.7)	7.746
580	images/sec: 227.5 +/- 0.1 (jitter = 0.7)	7.700
590	images/sec: 227.5 +/- 0.1 (jitter = 0.6)	7.694
600	images/sec: 227.5 +/- 0.1 (jitter = 0.7)	7.695
610	images/sec: 227.5 +/- 0.1 (jitter = 0.6)	7.769
620	images/sec: 227.5 +/- 0.1 (jitter = 0.6)	7.778
630	images/sec: 227.5 +/- 0.1 (jitter = 0.6)	7.686
640	images/sec: 227.6 +/- 0.1 (jitter = 0.6)	7.712
650	images/sec: 227.6 +/- 0.1 (jitter = 0.6)	7.721
660	images/sec: 227.6 +/- 0.1 (jitter = 0.6)	7.749
670	images/sec: 227.6 +/- 0.1 (jitter = 0.6)	7.724
680	images/sec: 227.6 +/- 0.1 (jitter = 0.6)	7.633
690	images/sec: 227.6 +/- 0.1 (jitter = 0.6)	7.722
700	images/sec: 227.6 +/- 0.1 (jitter = 0.6)	7.661
710	images/sec: 227.6 +/- 0.1 (jitter = 0.6)	7.522
720	images/sec: 227.6 +/- 0.1 (jitter = 0.6)	7.715
730	images/sec: 227.6 +/- 0.1 (jitter = 0.6)	7.601
740	images/sec: 227.6 +/- 0.1 (jitter = 0.6)	7.648
750	images/sec: 227.6 +/- 0.0 (jitter = 0.6)	7.739
760	images/sec: 227.6 +/- 0.0 (jitter = 0.6)	7.672
770	images/sec: 227.6 +/- 0.0 (jitter = 0.6)	7.633
780	images/sec: 227.6 +/- 0.0 (jitter = 0.6)	7.745
790	images/sec: 227.6 +/- 0.0 (jitter = 0.6)	7.688
800	images/sec: 227.6 +/- 0.0 (jitter = 0.6)	7.676
810	images/sec: 227.6 +/- 0.0 (jitter = 0.6)	7.682
820	images/sec: 227.6 +/- 0.0 (jitter = 0.6)	7.611
830	images/sec: 227.6 +/- 0.0 (jitter = 0.6)	7.636
840	images/sec: 227.6 +/- 0.0 (jitter = 0.6)	7.627
850	images/sec: 227.6 +/- 0.0 (jitter = 0.6)	7.637
860	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.584
870	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.665
880	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.575
890	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.585
900	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.688
910	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.651
920	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.562
930	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.570
940	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.444
950	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.657
960	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.623
970	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.487
980	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.496
990	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.602
1000	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.622
1010	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.616
1020	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.580
1030	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.585
1040	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.566
1050	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.571
1060	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.519
1070	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.518
1080	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.617
1090	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.609
1100	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.682
1110	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.385
1120	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.551
1130	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.647
1140	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.494
1150	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.499
1160	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.503
1170	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.387
1180	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.542
1190	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.496
1200	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.485
1210	images/sec: 227.7 +/- 0.0 (jitter = 0.6)	7.560
1220	images/sec: 227.7 +/- 0.0 (jitter = 0.5)	7.405
1230	images/sec: 227.7 +/- 0.0 (jitter = 0.5)	7.525
1240	images/sec: 227.7 +/- 0.0 (jitter = 0.5)	7.488
1250	images/sec: 227.7 +/- 0.0 (jitter = 0.5)	7.667
1260	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.498
1270	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.557
1280	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.485
1290	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.539
1300	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.548
1310	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.501
1320	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.447
1330	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.573
1340	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.496
1350	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.532
1360	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.392
1370	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.504
1380	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.444
1390	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.291
1400	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.550
1410	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.504
1420	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.577
1430	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.467
1440	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.337
1450	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.429
1460	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.365
1470	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.360
1480	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.462
1490	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.298
1500	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.261
1510	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.405
1520	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.317
1530	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.378
1540	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.487
1550	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.407
1560	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.356
1570	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.502
1580	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.427
1590	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.187
1600	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.349
1610	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.402
1620	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.435
1630	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.361
1640	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.351
1650	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.484
1660	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.239
1670	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.330
1680	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.437
1690	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.355
1700	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.299
1710	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.209
1720	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.329
1730	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.171
1740	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.149
1750	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.240
1760	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.365
1770	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.407
1780	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.434
1790	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.225
1800	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.272
1810	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.441
1820	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.352
1830	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.339
1840	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.354
1850	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.291
1860	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.293
1870	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.380
1880	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.363
1890	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.166
1900	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.221
1910	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.284
1920	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.186
1930	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.210
1940	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.206
1950	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.115
1960	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.276
1970	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.272
1980	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.249
1990	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.178
2000	images/sec: 227.8 +/- 0.0 (jitter = 0.5)	7.219
----------------------------------------------------------------
total images/sec: 227.76
----------------------------------------------------------------
WARNING:tensorflow:From /root/data/benchmarks/scripts/tf_cnn_benchmarks/convnet_builder.py:372: calling reduce_mean (from tensorflow.python.ops.math_ops) with keep_dims is deprecated and will be removed in a future version.
Instructions for updating:
keep_dims is deprecated, use keepdims instead
WARNING:tensorflow:From /root/data/benchmarks/scripts/tf_cnn_benchmarks/benchmark_cnn.py:1120: Supervisor.__init__ (from tensorflow.python.training.supervisor) is deprecated and will be removed in a future version.
Instructions for updating:
Please switch to tf.train.MonitoredTrainingSession
2018-06-29 14:59:11.069364: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2018-06-29 14:59:11.239994: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1392] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB major: 6 minor: 0 memoryClockRate(GHz): 1.3285
pciBusID: 0000:82:00.0
totalMemory: 15.89GiB freeMemory: 15.60GiB
2018-06-29 14:59:11.240047: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1471] Adding visible gpu devices: 0
2018-06-29 14:59:11.632656: I tensorflow/core/common_runtime/gpu/gpu_device.cc:952] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-06-29 14:59:11.632728: I tensorflow/core/common_runtime/gpu/gpu_device.cc:958]      0 
2018-06-29 14:59:11.632745: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] 0:   N 
2018-06-29 14:59:11.633216: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1084] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 15119 MB memory) -> physical GPU (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:82:00.0, compute capability: 6.0)
TensorFlow:  1.10
Model:       resnet50
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  128 global
             64.0 per device
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss
1	images/sec: 226.1 +/- 0.0 (jitter = 0.0)	8.702
10	images/sec: 226.5 +/- 0.5 (jitter = 0.5)	8.754
20	images/sec: 226.4 +/- 0.4 (jitter = 0.7)	9.088
30	images/sec: 214.8 +/- 4.6 (jitter = 1.1)	8.154
40	images/sec: 217.5 +/- 3.4 (jitter = 1.1)	8.134
50	images/sec: 219.1 +/- 2.8 (jitter = 1.2)	8.022
60	images/sec: 220.3 +/- 2.3 (jitter = 1.2)	8.028
70	images/sec: 221.2 +/- 2.0 (jitter = 1.1)	8.075
